ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
asparagusflagellaris,Asparagus flagellaris,,,2768456,Asparagus flagellaris Baker,Asparagus flagellaris,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Asparagaceae,7683,Asparagus,9527393
astraealobata,Astraea lobata,,,5380859,Astraea lobata Klotzsch,Astraea lobata,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malpighiales,1414,Euphorbiaceae,4691,Astraea,3074966
atelerixalbiventris,Atelerix albiventris,,,2437140,"Atelerix albiventris (Wagner, 1841)",Atelerix albiventris,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Erinaceomorpha,829,Erinaceidae,5722,Atelerix,2437131
atilaxpaludinosus,Atilax paludinosus,,,2434188,Atilax paludinosus G,Atilax paludinosus,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Carnivora,732,Herpestidae,9678,Atilax,2434187
atractaspiswatsoni,Atractaspis watsoni,,,2472572,"Atractaspis watsoni Boulenger, 1908",Atractaspis watsoni,SPECIES,Animalia,1,Chordata,44,Reptilia,358,Squamata,715,Lamprophiidae,5789868,Atractaspis,2469991
atractomorphaacutipennis,Atractomorpha acutipennis,,,5101021,"Atractomorpha acutipennis (Guérin-Méneville, 1844)",Atractomorpha acutipennis,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Orthoptera,1458,Pyrgomorphidae,5928,Atractomorpha,1727987
azadirachtaindica,Azadirachta indica,,,3190474,Azadirachta indica A.Juss.,Azadirachta indica,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Sapindales,933,Meliaceae,2397,Azadirachta,3190473
bagrusbajad,Bagrus bajad,,,5201746,"Bagrus bajad (Forsskål, 1775)",Bagrus bajad,SPECIES,Animalia,1,Chordata,44,Actinopterygii,204,Siluriformes,708,Bagridae,8974,Bagrus,7644305
baisseamultiflora,Baissea multiflora,,,3615895,Baissea multiflora A.DC.,Baissea multiflora,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Baissea,7316704
balanitesaegyptiacus,Balanites aegyptiacus,,,5421115,Balanites aegyptiaca Delile,Balanites aegyptiaca,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Zygophyllales,7219293,Zygophyllaceae,2394,Balanites,3189897
