ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ampari-bauhiniareticulata-1,,ampari,bauhiniareticulata,kɔ̀rúmbɛ̀,kɔ̀rúmbɛ̀,,,,,,,
ampari-bauhiniarufescens-1,,ampari,bauhiniarufescens,šìmòndó-nàrà,šìmòndó-nàrà,,,,,,,
ampari-bidensbiternata-1,,ampari,bidensbiternata,ɛ̀mbɛ̀rɛ́-kɛ̂m,ɛ̀mbɛ̀rɛ́-kɛ̂m,,,,,,,
ampari-bitisarietans-1,,ampari,bitisarietans,wɔ̀jɔ́-gɔ́rɔ̀,wɔ̀jɔ́-gɔ́rɔ̀,,,,,,,
ampari-blainvilleagayana-1,,ampari,blainvilleagayana,kɔ̀jí tùmá-è,kɔ̀jí tùmá-è,,,,,,,
ampari-blepharislinariifolia-1,,ampari,blepharislinariifolia,bàràmá jɛ́mbɛ́rɛ́,bàràmá jɛ́mbɛ́rɛ́,,,,,,,
ampari-bombaxcostatum-1,,ampari,bombaxcostatum,tógóró,tógóró,,,,,,,
ampari-borassusaethiopum-1,,ampari,borassusaethiopum,síwⁿ,síwⁿ,,,,,,,
ampari-bosciaangustifolia-1,,ampari,bosciaangustifolia,símóndó,símóndó,,,,,,,
ampari-bosciasenegalensis-1,,ampari,bosciasenegalensis,ándé,ándé,,,,,,,
ampari-brachiaria-1,,ampari,brachiaria,dàwⁿà nárá èmbà,dàwⁿà nárá èmbà,,,,,,,
ampari-bubocinerascens-1,,ampari,bubocinerascens,dúndú,dúndú,,,,,,,
ampari-bubolacteus-1,,ampari,bubolacteus,šó: bèmbì,šó: bèmbì,,,,,,,
ampari-bubulcusibis-1,,ampari,bubulcusibis,bùrùgú-síjâ:y,bùrùgú-síjâ:y,,,,,,,
ampari-bucorvusabyssinicus-1,,ampari,bucorvusabyssinicus,úndúmbè,úndúmbè,,,,,,,
ampari-buphagusafricanus-1,,ampari,buphagusafricanus,dùrú níwè,dùrú níwè,,,,,,,
ampari-burhinuscapensis-1,,ampari,burhinuscapensis,kòròmbá-nìwè,kòròmbá-nìwè,,,,,,,
ampari-calotropisprocera-1,,ampari,calotropisprocera,bàmbá-pòy,bàmbá-pòy,,,,,,,
ampari-camponotusmaculatus-1,,ampari,camponotusmaculatus,sɛ̀njɛ́-nì: kúrùkúrù,sɛ̀njɛ́-nì: kúrùkúrù,,,,,,,
ampari-canisadustusadustus-1,,ampari,canisadustusadustus,àgá íjɛ̀,àgá íjɛ̀,,,,,,,
ampari-caprimulgustristigma-1,,ampari,caprimulgustristigma,ní-bɛ́tì,ní-bɛ́tì,,,,,,,
ampari-capsicum-1,,ampari,capsicum,kɛ́pɛ́rì,kɛ́pɛ́rì,,,,,,,
ampari-carallumaacutangula-1,,ampari,carallumaacutangula,dùrù-sùgúrù,dùrù-sùgúrù,,,,,,,
ampari-carallumaadscendens-1,,ampari,carallumaadscendens,sùgùrù-té:mbá,sùgùrù-té:mbá,,,,,,,
ampari-cassiasieberiana-1,,ampari,cassiasieberiana,nùmá-gìrà,nùmá-gìrà,,,,,,,
ampari-cataloipuscymbiferus-1,,ampari,cataloipuscymbiferus,kàyá yà jìríwè,kàyá yà jìríwè,,,,,,,
ampari-ceibapentandra-1,,ampari,ceibapentandra,wánjá,wánjá,,,,,,,
ampari-celtistoka-1,,ampari,celtistoka,pìrí,pìrí,,,,,,,
ampari-cenchrusbiflorus-1,,ampari,cenchrusbiflorus,kórúmbó,kórúmbó,,,,,,,
ampari-cenchrusprieurii-1,,ampari,cenchrusprieurii,kórúmbó yɔ̀,kórúmbó yɔ̀,,,,,,,
ampari-centaureaperrottetii-1,,ampari,centaureaperrottetii,mɛ́nɛ́-mɛ́nɛ́,mɛ́nɛ́-mɛ́nɛ́,,,,,,,
ampari-centropussenegalensis-1,,ampari,centropussenegalensis,ùrú-dúdù,ùrú-dúdù,,,,,,,
ampari-ceratothecasesamoides-1,,ampari,ceratothecasesamoides,òdòròmíndò,òdòròmíndò,,,,,,,
ampari-chalcidesocellatus-1,,ampari,chalcidesocellatus,gìmɛ́rì,gìmɛ́rì,,,,,,,
ampari-chamaecristaabsus-1,,ampari,chamaecristaabsus,gìdó-pɛ̀rì,gìdó-pɛ̀rì,,,,,,,
ampari-chamaecristamimosoides-1,,ampari,chamaecristamimosoides,kɔ̀jí tùmá-è,kɔ̀jí tùmá-è,,,,,,,
ampari-chamaecristanigricans-1,,ampari,chamaecristanigricans,àgà-sǒŋ nàrà,àgà-sǒŋ nàrà,,,,,,,
ampari-chamaecristanigricans-2,,ampari,chamaecristanigricans,àgá sòŋ,àgá sòŋ,,,,,,,
